Tag Counts:
Tag,Count
Untagged,3977
email,15
sv_P1,4
sv_P4,1
sv_P5,1
sv_P3,1
sv_P2,1

Port/Protocol Combination Counts:
Port,Protocol,Count
63855,udp,1
33862,tcp,1
7476,tcp,1
36151,icmp,1
42989,tcp,1
39816,icmp,1
50253,udp,1
2147,icmp,1
61807,icmp,1
12369,udp,1
17502,icmp,1
34784,udp,1
8619,icmp,1
65053,udp,1
61181,udp,1
56115,udp,1
22889,tcp,1
1228,udp,1
23033,tcp,1
17102,tcp,1
53591,icmp,1
41750,udp,1
8303,udp,1
18004,icmp,1
42880,udp,1
1978,tcp,1
20157,tcp,1
62824,udp,1
5033,icmp,1
19566,tcp,1
35427,udp,1
1089,icmp,1
46454,tcp,1
31863,udp,1
10448,icmp,1
51348,udp,1
50362,tcp,1
30220,tcp,1
38482,icmp,1
56481,udp,1
18150,udp,1
46999,udp,1
22482,udp,1
21785,udp,1
38189,udp,1
26978,udp,1
63188,icmp,1
4995,tcp,1
7873,icmp,1
59719,tcp,1
51079,tcp,1
37531,udp,1
31161,tcp,1
12579,udp,1
8510,tcp,1
34696,icmp,1
48947,udp,1
37223,icmp,1
14676,icmp,2
9116,icmp,1
38858,udp,1
22358,icmp,1
27382,udp,1
34540,tcp,1
6541,icmp,1
35725,udp,1
63264,icmp,1
19435,icmp,1
54881,tcp,1
12171,tcp,1
44115,icmp,1
38177,udp,1
37906,icmp,1
15482,icmp,1
18113,udp,1
64336,tcp,1
22782,udp,1
63834,udp,1
64967,tcp,1
51198,icmp,1
4967,tcp,1
4603,udp,1
47481,tcp,1
27959,tcp,1
53095,icmp,1
54563,icmp,1
13390,udp,1
64574,icmp,1
5794,tcp,1
2628,icmp,1
37557,udp,1
21942,udp,1
19313,tcp,1
26972,tcp,1
30749,icmp,1
11651,tcp,1
53308,tcp,1
40938,udp,1
32419,icmp,1
63106,udp,1
42253,icmp,1
38310,tcp,1
34357,icmp,1
48085,icmp,1
9109,tcp,1
4945,udp,1
17303,tcp,1
23601,udp,1
62590,udp,2
34505,udp,2
26871,tcp,1
14229,icmp,1
4157,icmp,1
21638,tcp,1
63869,icmp,1
39306,udp,1
2222,icmp,1
56628,tcp,1
18406,icmp,1
30038,icmp,1
7760,icmp,1
21182,udp,1
22563,udp,1
15131,icmp,1
62702,tcp,1
11715,udp,1
55161,icmp,1
25654,icmp,1
45996,udp,1
32953,tcp,1
37785,tcp,1
64352,tcp,1
1099,udp,1
45775,udp,1
48120,udp,1
22995,icmp,1
1446,tcp,1
48473,tcp,1
57704,udp,1
2138,udp,1
7932,tcp,1
16461,udp,1
50445,icmp,1
20678,icmp,1
54504,tcp,1
31030,udp,1
15585,tcp,1
38911,tcp,1
8862,icmp,1
13378,tcp,1
37592,tcp,1
21861,udp,1
53537,icmp,1
17905,udp,1
50070,udp,1
42713,icmp,1
60393,udp,1
302,icmp,1
18866,udp,1
24578,udp,1
22616,udp,1
14716,udp,1
55017,udp,1
33802,udp,1
27347,udp,1
29042,icmp,1
2824,icmp,1
34998,icmp,1
32020,icmp,1
48833,tcp,1
53023,udp,1
10382,tcp,1
65066,udp,1
64083,icmp,1
35854,icmp,1
17829,icmp,1
35821,udp,1
54651,udp,1
5031,tcp,1
53286,icmp,1
8478,udp,1
37215,tcp,1
30747,tcp,1
39103,tcp,1
47563,icmp,2
55784,udp,1
