dstport,protocol,tag
35094,icmp,email
54753,TCP,sv_P3
43718,ICMP,email
48037,ICMP,email
53801,TCP,sv_P1
47047,TCP,email
1502,udp,sv_P5
58040,ICMP,email
17113,udp,sv_P1
53135,UDP,email
61607,tcp,email
42485,udp,sv_P5
37970,ICMP,sv_P3
1293,UDP,sv_P1
52375,udp,email
26818,icmp,sv_P1
53269,tcp,email
1245,tcp,sv_P3
31096,UDP,sv_P2
23700,ICMP,email
16144,UDP,sv_P2
56873,tcp,sv_P3
51475,ICMP,sv_P4
51874,icmp,email
35532,tcp,sv_P4
5536,icmp,sv_P3
58021,ICMP,sv_P1
20631,ICMP,email
26468,tcp,sv_P4
30192,tcp,email
55658,TCP,sv_P2
44337,tcp,email
3550,icmp,sv_P5
53160,icmp,sv_P5
39626,UDP,sv_P5
34650,TCP,sv_P4
48099,TCP,email
5792,ICMP,sv_P5
24977,UDP,sv_P4
43700,icmp,sv_P5
57291,icmp,email
41807,udp,email
2566,TCP,sv_P3
3813,icmp,email
36769,tcp,sv_P4
37824,icmp,email
28935,icmp,email
39990,tcp,email
48940,udp,email
38100,udp,sv_P5
20276,tcp,sv_P5
5033,udp,sv_P2
3248,tcp,email
21578,tcp,sv_P2
18213,ICMP,email
14113,tcp,email
13252,UDP,email
64387,ICMP,sv_P3
15442,tcp,sv_P5
32372,icmp,email
22399,tcp,sv_P1
17537,tcp,sv_P5
21330,TCP,sv_P1
4663,TCP,sv_P2
15797,tcp,email
54247,ICMP,email
27217,tcp,sv_P4
18589,UDP,email
14826,ICMP,email
11244,tcp,sv_P1
797,udp,email
9600,TCP,sv_P5
29853,ICMP,sv_P3
13895,UDP,email
27384,UDP,sv_P3
54327,icmp,sv_P4
51824,ICMP,sv_P4
55714,icmp,email
20475,UDP,sv_P3
23997,udp,sv_P2
7473,icmp,email
14400,TCP,sv_P4
61184,TCP,sv_P3
8937,TCP,sv_P3
40240,icmp,sv_P2
320,ICMP,sv_P5
43871,udp,sv_P2
13163,udp,sv_P3
1673,UDP,sv_P4
23044,TCP,sv_P1
34179,udp,sv_P2
48841,udp,sv_P5
57045,UDP,sv_P3
30166,UDP,sv_P2
51476,udp,email
8271,ICMP,email
10739,TCP,email
49821,ICMP,sv_P2
13405,icmp,email
37903,TCP,sv_P3
7811,tcp,sv_P2
34946,ICMP,email
11710,icmp,sv_P3
18110,udp,sv_P1
54591,icmp,sv_P4
7820,tcp,email
63616,tcp,sv_P5
65492,tcp,email
33042,icmp,sv_P2
33009,UDP,email
28296,TCP,email
39597,tcp,sv_P2
17005,udp,sv_P1
59454,UDP,email
49445,ICMP,sv_P3
20153,icmp,sv_P1
36359,TCP,email
28997,udp,email
39996,tcp,sv_P4
49379,tcp,email
33345,TCP,email
16889,TCP,sv_P5
13337,icmp,sv_P3
33485,tcp,sv_P5
6402,udp,email
47600,TCP,email
21965,udp,sv_P2
55244,UDP,email
27991,ICMP,sv_P1
28210,udp,email
1084,TCP,sv_P5
426,icmp,sv_P5
13372,udp,sv_P2
31439,UDP,sv_P3
16497,icmp,sv_P1
19778,UDP,sv_P3
62335,TCP,email
43252,TCP,sv_P1
12432,UDP,sv_P1
19359,TCP,sv_P3
52780,UDP,sv_P2
33043,ICMP,email
58442,TCP,sv_P5
4740,ICMP,sv_P5
23645,tcp,sv_P5
17399,ICMP,email
30290,UDP,sv_P4
45198,TCP,email
40849,TCP,email
12886,udp,sv_P1
37374,TCP,sv_P2
11564,ICMP,email
56998,udp,sv_P5
42667,TCP,sv_P3
37360,UDP,email
57535,tcp,sv_P4
30253,UDP,sv_P1
18064,tcp,email
12614,tcp,sv_P4
21519,TCP,email
16520,tcp,sv_P2
18214,tcp,sv_P1
1106,ICMP,email
60456,UDP,sv_P4
51093,tcp,email
24562,TCP,email
35283,icmp,email
13170,TCP,sv_P4
50889,ICMP,email
42571,icmp,sv_P5
55607,ICMP,email
48823,icmp,email
28954,UDP,sv_P5
2780,udp,sv_P2
31549,icmp,email
18712,UDP,email
22474,tcp,email
60774,icmp,sv_P2
25013,tcp,email
65467,icmp,sv_P3
50194,TCP,sv_P2
35227,udp,sv_P1
7810,tcp,email
62330,udp,email
20136,tcp,sv_P1
9188,icmp,sv_P1
23122,ICMP,email
6863,icmp,email
28613,UDP,email
26184,icmp,sv_P5
39302,UDP,email
1203,tcp,email
17471,ICMP,sv_P1
40080,UDP,email
55993,ICMP,email
40259,UDP,email
20240,tcp,sv_P3
13095,udp,sv_P1
30583,icmp,sv_P1
53385,udp,email
30085,ICMP,email
27964,tcp,email
10086,ICMP,sv_P4
61499,icmp,sv_P5
3781,udp,email
35320,ICMP,email
63633,TCP,email
65240,tcp,sv_P2
35778,ICMP,email
20719,udp,sv_P4
30794,UDP,sv_P4
968,udp,email
14326,TCP,sv_P4
52433,icmp,sv_P4
30304,ICMP,email
15012,icmp,sv_P2
19134,TCP,sv_P4
49362,TCP,sv_P5
8363,tcp,sv_P4
30886,UDP,email
33458,TCP,email
61696,UDP,sv_P4
50663,UDP,email
18012,udp,email
40276,ICMP,sv_P1
11024,ICMP,sv_P3
46003,TCP,sv_P2
11406,UDP,email
62276,tcp,sv_P3
41963,TCP,sv_P3
7102,tcp,email
50589,udp,email
25592,udp,email
29800,ICMP,email
60900,icmp,email
17214,ICMP,sv_P2
13221,icmp,sv_P1
25891,icmp,sv_P2
31027,TCP,email
28197,icmp,email
32625,tcp,sv_P1
43090,icmp,email
30649,tcp,sv_P4
32458,icmp,email
25162,udp,email
6371,TCP,sv_P4
8441,ICMP,sv_P5
30864,icmp,email
53257,tcp,sv_P4
39578,tcp,sv_P2
53626,UDP,email
43863,ICMP,sv_P3
56299,ICMP,sv_P4
3556,icmp,sv_P5
61980,icmp,email
56567,udp,email
64413,icmp,sv_P5
29924,tcp,email
30997,tcp,sv_P1
20071,tcp,sv_P2
30494,udp,email
1001,TCP,email
54224,UDP,sv_P1
21572,UDP,sv_P5
40122,TCP,email
39378,UDP,sv_P5
7820,udp,sv_P1
21891,TCP,email
54297,tcp,sv_P1
34524,TCP,sv_P4
15390,UDP,sv_P2
27404,icmp,email
5500,icmp,sv_P1
48174,ICMP,email
43252,icmp,sv_P3
5844,ICMP,sv_P3
55451,TCP,sv_P1
12976,UDP,sv_P1
64211,TCP,email
29339,UDP,email
6797,ICMP,sv_P5
42162,tcp,email
19665,UDP,email
60900,icmp,email
28200,ICMP,sv_P1
676,TCP,sv_P3
47935,TCP,sv_P5
65024,UDP,email
24586,TCP,sv_P3
34307,ICMP,email
21009,icmp,email
16496,TCP,sv_P4
19034,icmp,sv_P1
3071,tcp,email
34570,icmp,sv_P3
2325,icmp,email
30152,UDP,sv_P3
56473,icmp,email
34330,UDP,email
54648,tcp,email
62422,ICMP,sv_P2
47514,udp,sv_P2
5548,tcp,email
39778,ICMP,sv_P4
44490,udp,sv_P4
3217,ICMP,email
20432,udp,email
58602,icmp,email
60254,tcp,email
56575,UDP,email
